quando,fonte,tipo,loja,vendedor,titulo,preco,preco_pix,parcelado,cupom,url
2026-09-13T15:29:05-03:00,magalu,loja,Magazine Luiza,Magalu,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB",3899.0,3704.05,"10x R$ 389,90 sem juros",LU250,https://www.magazineluiza.com.br/smart-tv-55-tcl-4k-uhd-miniled-55c6k-120hz-google-tv-aipq-google-assistente-4-hdmi-2-usb/p/240162700/et/elit/
2026-09-13T15:29:05-03:00,kabum,loja,KaBuM!,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3159.0,,"10x de R$ 315,89 sem juros",,https://www.kabum.com.br/produto/911482
2026-09-13T15:29:05-03:00,vtex,loja,Fast Shop,Fast Shop,"Smart TV 4K TCL QD-Mini LED 55” Polegadas com HDMI 2.1, Dolby Vision IQ, Subwoofer, 144Hz VRR e Wi-Fi - 55C6K",3296.81,,,,https://site.fastshop.com.br/smart-tv-4k-tcl-qd-mini-led-55”-polegadas-com-hdmi-2-1--dolby-vision-iq--subwoofer--144hz-vrr-e-wi-fi---55c6k-tk55c6kpto_prd/p
2026-09-13T15:29:05-03:00,vtex,loja,Fast Shop,TCL SEMP,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,4009.0,,"12x R$ 334,08 sem juros",,https://site.fastshop.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10--55c6k-186556/p
2026-09-13T15:29:05-03:00,vtex,loja,Loja TCL,TCL - Brasil,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3719.0,3421.48,"10x R$ 371,90 sem juros",,https://www.lojatcl.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p
2026-09-13T15:29:05-03:00,vtex,loja,Webcontinental,Ponto,"Smart TV TCL 4K QLED 55"" QD-Mini LED Preto Bivolt 55C6K",3324.05,,"10x R$ 332,40 sem juros",,https://www.webcontinental.com.br/smart-tv-tcl-55-polegadas-c6k-premium-4k-qd-mini-led-preto-bivolt-003250031577/p
2026-09-13T15:29:05-03:00,vtex,loja,Webcontinental,FAST SHOP,Smart TV TCL 55C6K 55 Polegadas 4K QD-Mini LED Preta Dolby Vision Atmos HDMI 2.1 Wi-Fi Bluetooth Bivolt,3398.0,,"10x R$ 339,80 sem juros",,https://www.webcontinental.com.br/smart-tv-tcl-55c6k-55-polegadas-4k-qd-mini-led-preta-dolby-vision-atmos-hdmi-2-1-bivolt-003277008260/p
2026-09-13T15:34:12-03:00,zoom,loja,Webcontinental,,"Smart TV TCL 4K QLED 55"" QD-Mini LED Preto Bivolt 55C6K",3082.61,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1514640548
2026-09-13T15:34:12-03:00,zoom,loja,Fast Shop,,"Smart TV 4K TCL QD-Mini LED 55” Polegadas com HDMI 2.1, Dolby Vision IQ, Subwoofer, 144Hz VRR e Wi-Fi - 55C6K",3099.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1544269493
2026-09-13T15:34:12-03:00,zoom,loja,KaBuM!,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3159.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1572257801
2026-09-13T15:34:12-03:00,zoom,loja,Amazon,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3279.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1489104908
2026-09-13T15:34:12-03:00,zoom,loja,Magazine Luiza,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assi",3704.05,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1484766165
2026-09-13T15:34:12-03:00,zoom,loja,Magazine Luiza,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google T,3899.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1578143720
2026-09-13T15:34:12-03:00,magalu,loja,Magazine Luiza,Fast Shop,"Smart TV 4K TCL QD-Mini LED 55” Polegadas com HDMI 2.1, Dolby Vision IQ, Subwoofer, 144Hz VRR e Wi-Fi - 55C6K",3324.0,3091.32,"10x R$ 332,40 sem juros",,https://www.magazineluiza.com.br/smart-tv-4k-tcl-qd-mini-led-55-polegadas-com-hdmi-2-1-dolby-vision-iq-subwoofer-144hz-vrr-e-wi-fi-55c6k/p/kb7d86eh39/et/elit/
2026-09-13T15:34:12-03:00,magalu,loja,Magazine Luiza,Loja TCL Semp,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10 55C6K,3899.0,,"10x R$ 389,90 sem juros",,https://www.magazineluiza.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p/ch3bg8ac9d/et/elit/
2026-09-13T15:34:12-03:00,magalu,loja,Magazine Luiza,camara,Smart TV 55 TCL 55C6K 4K QDMini Led 144Hz Sistema Operacional Google TV,3500.0,3325.0,"10x R$ 350,00 sem juros",,https://www.magazineluiza.com.br/smart-tv-55-tcl-55c6k-4k-qdmini-led-144hz-sistema-operacional-google-tv/p/ab1686263c/et/elit/
2026-09-13T15:34:12-03:00,magalu,loja,Magazine Luiza,Lojas Colombo Oficial,"Smart TV TCL 55 AI, 4K UHD, QLED Mini LED, Android TV - 55C6K",4443.0,4265.28,"10x R$ 444,30 sem juros",,https://www.magazineluiza.com.br/smart-tv-tcl-55-ai-4k-uhd-qled-mini-led-android-tv-55c6k/p/kc7h6f4k4b/et/elit/
2026-09-13T15:34:12-03:00,magalu,loja,Magazine Luiza,Leonfer,Smart TV C6K 55 Polegadas 4K 144 HZ QLED Mini Led TCL,5399.9,4859.91,"7x R$ 771,41 sem juros",,https://www.magazineluiza.com.br/smart-tv-c6k-55-polegadas-4k-144-hz-qled-mini-led-tcl/p/eecab9199g/et/elit/
2026-09-13T15:34:12-03:00,magalu,loja,Magazine Luiza,Magalu,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB",3899.0,3704.05,"10x R$ 389,90 sem juros",LU250,https://www.magazineluiza.com.br/smart-tv-55-tcl-4k-uhd-miniled-55c6k-120hz-google-tv-aipq-google-assistente-4-hdmi-2-usb/p/240162700/et/elit/
2026-09-13T15:34:12-03:00,kabum,loja,KaBuM!,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3159.0,,"10x de R$ 315,89 sem juros",,https://www.kabum.com.br/produto/911482
2026-09-13T15:34:12-03:00,vtex,loja,Fast Shop,Fast Shop,"Smart TV 4K TCL QD-Mini LED 55” Polegadas com HDMI 2.1, Dolby Vision IQ, Subwoofer, 144Hz VRR e Wi-Fi - 55C6K",3296.81,,,,https://site.fastshop.com.br/smart-tv-4k-tcl-qd-mini-led-55”-polegadas-com-hdmi-2-1--dolby-vision-iq--subwoofer--144hz-vrr-e-wi-fi---55c6k-tk55c6kpto_prd/p
2026-09-13T15:34:12-03:00,vtex,loja,Fast Shop,TCL SEMP,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,4009.0,,"12x R$ 334,08 sem juros",,https://site.fastshop.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10--55c6k-186556/p
2026-09-13T15:34:12-03:00,vtex,loja,Loja TCL,TCL - Brasil,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3719.0,3421.48,"10x R$ 371,90 sem juros",,https://www.lojatcl.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p
2026-09-13T15:34:12-03:00,vtex,loja,Webcontinental,Ponto,"Smart TV TCL 4K QLED 55"" QD-Mini LED Preto Bivolt 55C6K",3324.05,,"10x R$ 332,40 sem juros",,https://www.webcontinental.com.br/smart-tv-tcl-55-polegadas-c6k-premium-4k-qd-mini-led-preto-bivolt-003250031577/p
2026-09-13T15:34:12-03:00,vtex,loja,Webcontinental,FAST SHOP,Smart TV TCL 55C6K 55 Polegadas 4K QD-Mini LED Preta Dolby Vision Atmos HDMI 2.1 Wi-Fi Bluetooth Bivolt,3398.0,,"10x R$ 339,80 sem juros",,https://www.webcontinental.com.br/smart-tv-tcl-55c6k-55-polegadas-4k-qd-mini-led-preta-dolby-vision-atmos-hdmi-2-1-bivolt-003277008260/p
2026-09-13T15:36:16-03:00,zoom,loja,Webcontinental,,"Smart TV TCL 4K QLED 55"" QD-Mini LED Preto Bivolt 55C6K",3082.61,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1514640548
2026-09-13T15:36:16-03:00,zoom,loja,Fast Shop,,"Smart TV 4K TCL QD-Mini LED 55” Polegadas com HDMI 2.1, Dolby Vision IQ, Subwoofer, 144Hz VRR e Wi-Fi - 55C6K",3099.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1544269493
2026-09-13T15:36:16-03:00,zoom,loja,KaBuM!,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3159.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1572257801
2026-09-13T15:36:16-03:00,zoom,loja,Amazon,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3279.0,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1489104908
2026-09-13T15:36:16-03:00,zoom,loja,Magazine Luiza,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assi",3704.05,,,,https://www.zoom.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?highlightedItemId=1484766165
